hour,PL,DE,LT,SE
2012-07-22 08:00:00,0.497,0.589,0.448,0.433
2012-07-22 09:00:00,0.551,0.537,0.631,0.401
2012-07-22 10:00:00,0.556,0.484,0.683,0.379
2012-07-22 11:00:00,0.452,0.409,0.553,0.283
2012-07-22 12:00:00,0.443,0.381,0.487,0.256
2012-07-22 13:00:00,0.405,0.349,0.368,0.213
2012-07-22 14:00:00,0.336,0.375,0.316,0.205
2012-07-22 15:00:00,0.284,0.433,0.319,0.218
2012-07-22 16:00:00,0.239,0.453,0.292,0.212
2012-07-22 17:00:00,0.219,0.401,0.272,0.204
2012-07-22 18:00:00,0.2,0.325,0.269,0.184
2012-07-22 19:00:00,0.176,0.284,0.235,0.17
2012-07-22 20:00:00,0.166,0.263,0.188,0.171
2012-07-22 21:00:00,0.138,0.222,0.145,0.142
2012-07-22 22:00:00,0.089,0.172,0.107,0.118
2012-07-22 23:00:00,0.074,0.15,0.113,0.107
2012-07-23 00:00:00,0.042,0.151,0.067,0.113
2012-07-23 01:00:00,0.019,0.165,0.027,0.092
2012-07-23 02:00:00,0.009,0.178,0.012,0.071
2012-07-23 03:00:00,0.007,0.182,0.016,0.047
2012-07-23 04:00:00,0.009,0.193,0.036,0.042
2012-07-23 05:00:00,0.006,0.211,0.062,0.049
2012-07-23 06:00:00,0.003,0.177,0.059,0.053
2012-07-23 07:00:00,0.003,0.167,0.056,0.061
2012-07-23 08:00:00,0.003,0.171,0.059,0.061
2012-07-23 09:00:00,0.001,0.226,0.041,0.067
2012-07-23 10:00:00,0.0,0.331,0.016,0.075
2012-07-23 11:00:00,0.0,0.469,0.001,0.076
2012-07-23 12:00:00,0.003,0.578,0.0,0.128
2012-07-23 13:00:00,0.024,0.646,0.0,0.213
2012-07-23 14:00:00,0.067,0.684,0.003,0.323
2012-07-23 15:00:00,0.137,0.712,0.032,0.451
2012-07-23 16:00:00,0.228,0.744,0.075,0.532
2012-07-23 17:00:00,0.345,0.754,0.12,0.565
2012-07-23 18:00:00,0.433,0.751,0.185,0.568
2012-07-23 19:00:00,0.512,0.743,0.271,0.569
2012-07-23 20:00:00,0.565,0.745,0.378,0.56
2012-07-23 21:00:00,0.605,0.744,0.464,0.57
2012-07-23 22:00:00,0.643,0.751,0.583,0.564
2012-07-23 23:00:00,0.741,0.765,0.867,0.651
2012-07-24 00:00:00,0.656,0.78,0.844,0.669
2012-07-24 01:00:00,0.602,0.811,0.787,0.674
2012-07-24 02:00:00,0.636,0.828,0.782,0.71
2012-07-24 03:00:00,0.714,0.833,0.785,0.735
2012-07-24 04:00:00,0.755,0.828,0.785,0.752
2012-07-24 05:00:00,0.825,0.837,0.802,0.79
2012-07-24 06:00:00,0.858,0.854,0.846,0.816
2012-07-24 07:00:00,0.868,0.869,0.893,0.824
2012-07-24 08:00:00,0.872,0.873,0.898,0.836
2012-07-24 09:00:00,0.907,0.874,0.918,0.838
2012-07-24 10:00:00,0.934,0.87,0.942,0.818
2012-07-24 11:00:00,0.922,0.846,0.939,0.861
2012-07-24 12:00:00,0.935,0.839,0.945,0.842
2012-07-24 13:00:00,0.931,0.827,0.948,0.83
2012-07-24 14:00:00,0.919,0.81,0.946,0.842
2012-07-24 15:00:00,0.924,0.782,0.943,0.841
2012-07-24 16:00:00,0.924,0.759,0.935,0.819
2012-07-24 17:00:00,0.911,0.733,0.921,0.789
2012-07-24 18:00:00,0.888,0.712,0.909,0.769
2012-07-24 19:00:00,0.865,0.689,0.907,0.765
2012-07-24 20:00:00,0.853,0.665,0.911,0.757
2012-07-24 21:00:00,0.824,0.647,0.912,0.744
2012-07-24 22:00:00,0.797,0.644,0.915,0.734
2012-07-24 23:00:00,0.779,0.669,0.904,0.727
2012-07-25 00:00:00,0.753,0.668,0.872,0.706
2012-07-25 01:00:00,0.76,0.65,0.858,0.696
2012-07-25 02:00:00,0.749,0.629,0.867,0.672
2012-07-25 03:00:00,0.752,0.607,0.882,0.644
2012-07-25 04:00:00,0.747,0.575,0.883,0.642
2012-07-25 05:00:00,0.705,0.51,0.863,0.601
2012-07-25 06:00:00,0.669,0.458,0.839,0.575
2012-07-25 07:00:00,0.603,0.399,0.822,0.542
2012-07-25 08:00:00,0.526,0.34,0.77,0.504
2012-07-25 09:00:00,0.467,0.281,0.694,0.497
2012-07-25 10:00:00,0.405,0.238,0.603,0.487
2012-07-25 11:00:00,0.291,0.206,0.431,0.443
2012-07-25 12:00:00,0.239,0.198,0.398,0.44
2012-07-25 13:00:00,0.147,0.182,0.331,0.411
2012-07-25 14:00:00,0.081,0.15,0.265,0.391
2012-07-25 15:00:00,0.041,0.113,0.224,0.372
2012-07-25 16:00:00,0.021,0.081,0.204,0.362
2012-07-25 17:00:00,0.015,0.056,0.19,0.34
2012-07-25 18:00:00,0.027,0.037,0.167,0.308
2012-07-25 19:00:00,0.057,0.032,0.14,0.274
2012-07-25 20:00:00,0.098,0.033,0.124,0.265
2012-07-25 21:00:00,0.141,0.034,0.101,0.27
2012-07-25 22:00:00,0.179,0.034,0.075,0.278
2012-07-25 23:00:00,0.232,0.042,0.109,0.289
2012-07-26 00:00:00,0.246,0.045,0.102,0.288
2012-07-26 01:00:00,0.248,0.049,0.165,0.258
2012-07-26 02:00:00,0.236,0.047,0.202,0.241
2012-07-26 03:00:00,0.184,0.039,0.167,0.208
